Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7414	49330.95	18383.76	14.43	11.07196	10.8771	12.3665	13.0948	13.7037	0.082569	0.162844	0.292431	0.725917	vaahtera
7415	49340.69	18400.7	7.486	4.773243	4.2076	4.921	5.396	6.3894	0.206478	0.437247	0.793522	0.947368	lehmus
7416	49336.37	18396.68	11.4	8.795956	8.4019	9.291	9.8458	10.386	0.002358	0.07783	0.181604	0.378538	vaahtera
7417	49329.22	18390.64	11.124	8.545282	7.689	8.598	9.7192	10.3602	0.003501	0.064177	0.364061	0.700117	vaahtera
7418	49322.27	18384.53	10.323	6.94169	5.8704	7.627	8.7564	9.4688	0.20129	0.310968	0.52	0.873548	vaahtera
7419	49332.22	18404.1	7.734	4.242243	3.4292	3.905	4.7574	6.1764	0.398058	0.71521	0.857605	0.980583	lehmus
7420	49326.16	18399.65	8.27	4.590628	3.3862	4.481	5.4628	6.82	0.415162	0.628159	0.815884	0.98556	lehmus
7421	49320.27	18395.56	7.517	4.196682	3.5714	4.03	4.6844	5.6015	0.333333	0.715909	0.912879	0.988636	lehmus
7422	49313.51	18389.83	6.433	4.270401	3.747	4.395	4.754	5.526	0.147132	0.40399	0.760599	0.955112	lehmus
7427	49304.36	18362.09	13.839	10.22949	9.2109	10.737	11.8075	12.8202	0.038168	0.181679	0.417557	0.840458	vaahtera
7430	49286.47	18348.2	17.834	13.433661	11.811	13.983	15.788	16.638	0.002407	0.093863	0.286402	0.528279	vaahtera
7431	49301.35	18372.82	14.084	10.798775	10.302	11.152	12.0504	13.1446	0.02085	0.091419	0.196472	0.546111	vaahtera
7432	49301.3	18372.67	14.007	10.755045	9.6614	11.045	12.2044	13.1378	0.021061	0.089301	0.386689	0.770851	vaahtera
7433	49289.08	18361.9	15.116	13.021338	12.897	13.88	14.257	14.614	0.014127	0.045409	0.123108	0.316852	vaahtera
7434	49282.13	18359.12	13.163	8.409775	7.9692	9.235	9.8392	11.0344	0.166061	0.250909	0.687273	0.987879	vaahtera
7435	49356.96	18435.24	4.458	3.164647	2.775	3.01	3.541	4.108	0.196078	0.529412	0.705882	0.843137	lehmus
7436	49350.75	18442.34	6.983	5.230854	4.524	5.345	5.825	6.4065	0	0.056911	0.288618	0.443089	lehmus
7437	49343.71	18452.15	8.181	5.531392	4.6992	5.414	6.3566	7.1728	0.045752	0.27451	0.529412	0.777778	lehmus
7439	49327.03	18474.53	11.495	6.46349	5.1121	6.006	7.0868	8.6102	0.11	0.555	0.8	0.915	lehmus
7440	49320.98	18482.43	7.726	4.749354	2.9682	5.0675	5.773	6.7711	0.336806	0.427083	0.652778	0.895833	lehmus
7441	49311.82	18494.09	11.334	6.38754	5.175	6.211	7.372	8.265	0.141479	0.501608	0.810289	0.92926	lehmus
7442	49305.6	18503	8.511	5.822919	5.1428	6.1115	6.4632	7.0374	0.057692	0.3	0.638462	0.969231	lehmus
7443	49267.88	18514.89	8.31	5.483155	4.6045	5.3855	6.278	7.236	0.053398	0.364078	0.635922	0.864078	lehmus
7444	49257.42	18506.89	11.231	6.923866	5.6541	6.684	7.8594	9.9067	0.092466	0.393836	0.688356	0.85274	lehmus
7445	49252.81	18502.21	11.212	6.827232	5.1591	6.827	8.1472	9.5864	0.173913	0.355072	0.637681	0.876812	lehmus
7448	49230.11	18517.42	12.434	7.289413	5.9716	7.029	8.5916	9.9728	0.119449	0.462481	0.732006	0.950995	lehmus
